layer_type,R,S,C,K,X,Y,P,stride,pooling_size,pooling_stride,input_neuron,output_neuron,batch
conv,3,3,3,16,32,32,1,1,-1,-1,-1,-1,-1
conv,3,3,16,64,32,32,1,1,-1,-1,-1,-1,-1
conv_pooling,3,3,64,64,32,32,1,1,2,2,-1,-1,-1
conv,3,3,64,128,16,16,1,1,-1,-1,-1,-1,-1
conv_pooling,3,3,128,128,16,16,1,1,2,2,-1,-1,-1
conv,3,3,128,256,8,8,1,1,-1,-1,-1,-1,-1
conv_pooling,3,3,256,256,8,8,1,1,2,2,-1,-1,-1
conv,3,3,256,512,4,4,1,1,-1,-1,-1,-1,-1
conv,3,3,512,512,4,4,1,1,-1,-1,-1,-1,-1
fc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8192,10,1
