layer_type,R,S,C,K,X,Y,P,stride,pooling_size,pooling_stride,input_neuron,output_neuron,batch
conv_pooling,3,3,1,64,28,28,1,1,2,2,-1,-1,-1
conv,3,3,64,128,14,14,1,1,2,2,-1,-1,-1
conv_pooling,3,3,128,128,14,14,1,1,2,2,-1,-1,-1
fc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6272,1024,1
fc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1024,10,1
