layer_type,R,S,C,K,X,Y,P,stride,input_neuron,output_neuron,batch
conv,11,11,3,96,227,227,0,4,-1,-1,-1
pooling,3,3,96,96,55,55,0,2,-1,-1,-1
conv,5,5,96,256,27,27,2,1,-1,-1,-1
pooling,3,3,256,256,27,27,0,2,-1,-1,-1
conv,3,3,256,384,13,13,1,1,-1,-1,-1
conv,3,3,384,384,13,13,1,1,-1,-1,-1
conv,3,3,384,256,13,13,1,1,-1,-1,-1
pooling,3,3,256,256,13,13,0,2,-1,-1,-1
fc,-1,-1,-1,-1,-1,-1,-1,-1,9216,4096,1
fc,-1,-1,-1,-1,-1,-1,-1,-1,4096,4096,1
fc,-1,-1,-1,-1,-1,-1,-1,-1,4096,1000,1
