layer_type,R,S,C,K,X,Y,P,stride,input_neuron,output_neuron,batch
conv,3,3,3,64,224,224,1,1,-1,-1,-1
pooling,2,2,64,64,224,224,0,2,-1,-1,-1
conv,3,3,64,128,112,112,1,1,-1,-1,-1
pooling,2,2,128,128,112,112,0,2,-1,-1,-1
conv,3,3,128,256,56,56,1,1,-1,-1,-1
conv,3,3,256,256,56,56,1,1,-1,-1,-1
pooling,2,2,256,256,56,56,0,2,-1,-1,-1
conv,3,3,256,512,28,28,1,1,-1,-1,-1
conv,3,3,512,512,28,28,1,1,-1,-1,-1
pooling,2,2,512,512,28,28,0,2,-1,-1,-1
conv,3,3,512,512,14,14,1,-1,-1,-1
conv,3,3,512,512,14,14,1,1,-1,-1,-1
pooling,2,2,512,512,14,14,0,2,-1,-1,-1
fc,-1,-1,-1,-1,-1,-1,-1,-1,25088,4096,1
fc,-1,-1,-1,-1,-1,-1,-1,-1,4096,4096,1
fc,-1,-1,-1,-1,-1,-1,-1,-1,4096,1000,1
